Fecha de extracción,Hora ejecución,Timestamp ejecución,Ciudad,Nombre,Promoción (texto),Descuento normal (%),Rating,Reviews Number,Categoria,Link,Prime,Descuento prime,Tipo de reparto,Estado
2026-05-10,00:35:06,2026-05-10 00:35:06 CEST,valencia,Restaurante Ma Khin,-,-,100%,(36),-,https://glovoapp.com/es/es/valencia/stores/ma-khin-cafe-valencia,No,-,Glovo,Abierto
2026-05-10,00:35:06,2026-05-10 00:35:06 CEST,valencia,Horchatería Daniel,-,-,100%,(10),-,https://glovoapp.com/es/es/valencia/stores/horchateria-daniel,No,-,Glovo,Abierto
2026-05-10,00:35:06,2026-05-10 00:35:06 CEST,valencia,La Petite Brioche,-,-,92%,(22),-,https://glovoapp.com/es/es/valencia/stores/la-petite-brioche,No,-,Glovo,Abierto
2026-05-10,00:35:06,2026-05-10 00:35:06 CEST,valencia,Turtle Smash,-,-,75%,(31),-,https://glovoapp.com/es/es/valencia/stores/turtle-smash-valencia,No,-,Glovo,Abierto
2026-05-10,00:35:06,2026-05-10 00:35:06 CEST,valencia,Black Turtle,-,-,97%,(99),-,https://glovoapp.com/es/es/valencia/stores/the-black-turtle-valencia,No,-,Glovo,Abierto
2026-05-10,00:35:06,2026-05-10 00:35:06 CEST,malaga,Lasagna Mi,-,-,--,-,-,https://glovoapp.com/es/es/malaga/stores/lasagnami-malaga,No,-,Glovo,Abierto
2026-05-10,00:35:06,2026-05-10 00:35:06 CEST,malaga,Starbucks,-30% algunos productos,-30,93%,(107),-,https://glovoapp.com/es/es/malaga/stores/starbucks-malaga,No,-,Glovo,Abierto
2026-05-10,00:35:06,2026-05-10 00:35:06 CEST,malaga,Captain Candy Shop,-,-,--,-,-,https://glovoapp.com/es/es/malaga/stores/captain-candy-shop-malaga,No,-,Glovo,Abierto
2026-05-10,00:35:06,2026-05-10 00:35:06 CEST,malaga,De Nata,-,-,100%,(13),-,https://glovoapp.com/es/es/malaga/stores/de-nata-malaga,No,-,Glovo,Abierto
2026-05-10,00:35:06,2026-05-10 00:35:06 CEST,malaga,El Secreto De Las Chinitas,-,-,--,-,-,https://glovoapp.com/es/es/malaga/stores/el-secreto-de-las-chinitas-malaga,No,-,Glovo,Abierto
2026-05-10,00:35:06,2026-05-10 00:35:06 CEST,alicante,Wokamama,-,-,--,-,-,https://glovoapp.com/es/es/alicante/stores/honest-burgers-alicante,No,-,Glovo,Abierto
2026-05-10,00:35:06,2026-05-10 00:35:06 CEST,alicante,The Fuckin Kebap,-10% todo el menú | -20% todo el menú,-10,84%,(10),-,https://glovoapp.com/es/es/alicante/stores/the-fuckin-kebap-alicante,No,-,Glovo,Abierto
2026-05-10,00:35:06,2026-05-10 00:35:06 CEST,alicante,Bulla,-20% algunos productos,-20,97%,(143),-,https://glovoapp.com/es/es/alicante/stores/bulla-alicante,No,-,Glovo,Abierto
2026-05-10,00:35:06,2026-05-10 00:35:06 CEST,alicante,Tumbes Cocina Peruana,-,-,100%,(11),-,https://glovoapp.com/es/es/alicante/stores/tumbes-cocina-peruana-alicante,No,-,Glovo,Abierto
2026-05-10,00:35:06,2026-05-10 00:35:06 CEST,alicante,Café Alberdi,-,-,100%,(20),-,https://glovoapp.com/es/es/alicante/stores/cafe-alberdi-alicante,No,-,Glovo,Abierto
2026-05-10,00:35:06,2026-05-10 00:35:06 CEST,sevilla,MOKAMBO | Plaza Nueva,-30% todo el menú,-30,100%,(12),-,https://glovoapp.com/es/es/sevilla/stores/mokambo-plaza-nueva-sevilla,No,-,Glovo,Abierto
2026-05-10,00:35:06,2026-05-10 00:35:06 CEST,sevilla,Sibuya,-,-,95%,(133),-,https://glovoapp.com/es/es/sevilla/stores/sibuya-3,No,-,Glovo,Abierto
2026-05-10,00:35:06,2026-05-10 00:35:06 CEST,sevilla,Dulces y Golosinas Wonkandy,-,-,--,-,-,https://glovoapp.com/es/es/sevilla/stores/wonkandy-sevilla,No,-,Glovo,Abierto
2026-05-10,00:35:06,2026-05-10 00:35:06 CEST,sevilla,BASICS by Goiko,-,-,80%,(10),-,https://glovoapp.com/es/es/sevilla/stores/basics-by-goiko-sevilla,No,-,Glovo,Abierto
